GREETING,"Hi {userName}, I'm your personal assistant. I can suggest activities for you or check the weather for you. Just let me know what you need!"
GREETING,"Hello {userName}! Hope you're doing okay. I'm your personal assistant. I can suggest activities for you or check the weather for you. Just let me know what you need!"
GREETING,"Hello {userName}, nice to see you! I'm your personal assistant. I can suggest activities for you or check the weather for you. Just let me know what you need!"
HELP,"I can give you some general suggestions on what to do or check the weather for you. Just let me know what you need!"
HELP,"You want to get some suggestions or check the weather? Let me know!"
WEATHER,"{cityName} has {weatherDescription} weather. The temperature is {temperature}, but it feels like {feelsLike}."
WEATHER_UNKNOWN_CITY,"I'm sorry, I can't find any weather data. Can you please try again?"
UNRECOGNIZED_REQUEST,"Sorry, I can't figure out what to do."
UNRECOGNIZED_REQUEST,"Excuse me, could you tell me again a bit differently? I didn't understand you."
UNRECOGNIZED_REQUEST,"Sorry, I’m afraid I don’t follow you."
TEMPERATURE, "The temperature in {cityName} is {temperature}, but it feels like {feelsLike}."